date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:18	172513/172513	---MCZ	200	added ('OK')	text/html	etag:%22s885kibpbe3p32%22	https://yassir.com/en/algeria	C:/Users/moham/Desktop/test/yassir.com/en/algeria.html	(from https://yassir.com/en/algeria/contact-us)
00:32:18	170048/170048	---MCZ	200	added ('OK')	text/html	etag:%22rnutx7q1e23n6p%22	https://yassir.com/en/algeria/business	C:/Users/moham/Desktop/test/yassir.com/en/algeria/business.html	(from https://yassir.com/en/algeria/contact-us)
00:32:19	129075/129075	---MCZ	200	added ('OK')	text/html	etag:%22r69zejxpma2rl4%22	https://yassir.com/en/algeria/yassir-cash	C:/Users/moham/Desktop/test/yassir.com/en/algeria/yassir-cash.html	(from https://yassir.com/en/algeria/contact-us)
00:32:20	128677/128677	---MCZ	200	added ('OK')	text/html	etag:%22rrokvtrc32r9s%22	https://yassir.com/en/algeria/ride-hailing	C:/Users/moham/Desktop/test/yassir.com/en/algeria/ride-hailing.html	(from https://yassir.com/en/algeria/contact-us)
00:32:21	133452/133452	---MCZ	200	added ('OK')	text/html	etag:%22ewpvvvlio12uy3%22	https://yassir.com/en/algeria/food-delivery	C:/Users/moham/Desktop/test/yassir.com/en/algeria/food-delivery.html	(from https://yassir.com/en/algeria/contact-us)
00:32:22	122194/122194	---MCZ	200	added ('OK')	text/html	etag:%22rf40764gzo2m9r%22	https://yassir.com/en/algeria/grocery-delivery	C:/Users/moham/Desktop/test/yassir.com/en/algeria/grocery-delivery.html	(from https://yassir.com/en/algeria/contact-us)
00:32:23	109710/109710	---MCZ	200	added ('OK')	text/html	etag:%22yujpqz7myp2cn3%22	https://yassir.com/en/algeria/order-for-someone-else	C:/Users/moham/Desktop/test/yassir.com/en/algeria/order-for-someone-else.html	(from https://yassir.com/en/algeria/contact-us)
00:32:25	125045/125045	---MCZ	200	added ('OK')	text/html	etag:%228aikywwv782ogq%22	https://yassir.com/en/algeria/drivers	C:/Users/moham/Desktop/test/yassir.com/en/algeria/drivers.html	(from https://yassir.com/en/algeria/contact-us)
00:32:25	136819/136819	---MCZ	200	added ('OK')	text/html	etag:%22iusd76cuo22xjs%22	https://yassir.com/en/algeria/cargo-drivers	C:/Users/moham/Desktop/test/yassir.com/en/algeria/cargo-drivers.html	(from https://yassir.com/en/algeria/contact-us)
00:32:26	134941/134941	---MCZ	200	added ('OK')	text/html	etag:%22h6fyrlfp9z2w3g%22	https://yassir.com/en/algeria/delivery-men	C:/Users/moham/Desktop/test/yassir.com/en/algeria/delivery-men.html	(from https://yassir.com/en/algeria/contact-us)
00:32:27	165107/165107	---MCZ	200	added ('OK')	text/html	etag:%2243gzq3cmmd3jdq%22	https://yassir.com/en/algeria/restaurant	C:/Users/moham/Desktop/test/yassir.com/en/algeria/restaurant.html	(from https://yassir.com/en/algeria/contact-us)
00:32:28	156667/156667	---MCZ	200	added ('OK')	text/html	etag:%22idks78crdr3cva%22	https://yassir.com/en/algeria/stores	C:/Users/moham/Desktop/test/yassir.com/en/algeria/stores.html	(from https://yassir.com/en/algeria/contact-us)
00:32:29	141783/141783	---MCZ	200	added ('OK')	text/html	etag:%22si78kb8eu31e0%22	https://yassir.com/en/algeria/yassir-agent	C:/Users/moham/Desktop/test/yassir.com/en/algeria/yassir-agent.html	(from https://yassir.com/en/algeria/contact-us)
